project,camera,mark,Model,FOV,species,image_name,number,dates,times,diel,datetimes,deltatime,longitude,latitude,radian
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0122 (4).JPG,1,3/16/24,23:06:06,0.157615741,3/16/24 23:06,0,343014,1026380,6.04800219
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0123 (4).JPG,1,3/16/24,23:06:06,0.157615741,3/16/24 23:06,0,343014,1026380,6.04800219
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0125.JPG,1,3/16/24,23:06:20,0.157615741,3/16/24 23:06,14,343014,1026380,6.049020299
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0125 (3).JPG,1,3/16/24,23:06:20,0.157615741,3/16/24 23:06,0,343014,1026380,6.049020299
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0126.JPG,1,3/16/24,23:06:21,0.157615741,3/16/24 23:06,1,343014,1026380,6.049093021
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0127.JPG,1,3/16/24,23:06:21,0.157615741,3/16/24 23:06,0,343014,1026380,6.049093021
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0126 (4).JPG,1,3/16/24,23:06:21,0.157615741,3/16/24 23:06,0,343014,1026380,6.049093021
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0127 (4).JPG,1,3/16/24,23:06:21,0.157615741,3/16/24 23:06,0,343014,1026380,6.049093021
Last,CAMERA 5,GardePro,A3S,47.40533194,Erythrocebus patas,DSCF0017 (2).JPG,1,3/17/24,15:14:29,0.157615741,3/17/24 15:14,129602,342968,1026415,3.99018628
Last,CAMERA 5,GardePro,A3S,47.40533194,Erythrocebus patas,DSCF0018 (2).JPG,2,3/17/24,15:14:32,0.157615741,3/17/24 15:14,3,342968,1026415,3.990404446
Last,CAMERA 5,GardePro,A3S,47.40533194,Erythrocebus patas,DSCF0019 (2).JPG,2,3/17/24,15:14:32,0.157615741,3/17/24 15:14,0,342968,1026415,3.990404446
Last,CAMERA 5,GardePro,A3S,47.40533194,Tragelaphus scriptus,DSCF0021.JPG,2,3/17/24,22:11:38,0.157615741,3/17/24 22:11,25026,342968,1026415,5.810346524
Last,CAMERA 5,GardePro,A3S,47.40533194,Tragelaphus scriptus,DSCF0022.JPG,2,3/17/24,22:11:38,0.157615741,3/17/24 22:11,0,342968,1026415,5.810346524
Last,CAMERA 5,GardePro,A3S,47.40533194,Tragelaphus scriptus,DSCF0023.JPG,2,3/17/24,22:11:39,0.157615741,3/17/24 22:11,1,342968,1026415,5.810419246
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0129.JPG,1,3/18/24,21:22:46,0.157615741,3/18/24 21:22,166585,343014,1026380,5.597125467
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0130.JPG,4,3/18/24,21:22:46,0.157615741,3/18/24 21:22,0,343014,1026380,5.597125467
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0129 (3).JPG,1,3/18/24,21:22:46,0.157615741,3/18/24 21:22,0,343014,1026380,5.597125467
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0130 (4).JPG,4,3/18/24,21:22:46,0.157615741,3/18/24 21:22,0,343014,1026380,5.597125467
